Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Toyota Aqua  2017 GS,PKR 60 lacs,6000000,Peshawar,2017,"100,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,100000
Suzuki Swift  2024 GLX CVT,PKR 52 lacs,5200000,Larkana,2024,100km,Petrol,1200cc,Automatic,Not Certified,Customer,100
Toyota Corolla  2016 GLi Automatic 1.3 VVTi,PKR 34.5 lacs,3450000,Karachi,2016,"89,000km",Petrol,1300cc,Automatic,Not Certified,Customer,89000
Toyota Vitz  2008 F 1.0,PKR 20.5 lacs,2050000,Sheikhupura,2008,"180,000km",Petrol,1000cc,Automatic,Not Certified,Customer,180000
Suzuki Alto  2009 VXR,PKR 12 lacs,1200000,Karachi,2009,"90,000km",Petrol,1000cc,Manual,Not Certified,Customer,90000
Toyota Aqua  2018 S,PKR 48 lacs,4800000,Lahore,2018,"140,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,140000
Toyota Corolla  1992 ,PKR 15 lacs,1500000,Mardan,1992,"100,000km",Petrol,1600cc,Automatic,Not Certified,Customer,100000
Changan M9  2019 Base Model 1.0,PKR 16.5 lacs,1650000,Lahore,2019,"240,000km",Petrol,1000cc,Manual,Not Certified,Customer,240000
Nissan Otti  2007 ,PKR 16.7 lacs,1670000,Islamabad,2007,"173,300km",Petrol,660cc,Automatic,Not Certified,Customer,173300
Daihatsu Move  2013 Custom L,PKR 19.6 lacs,1960000,Hafizabad,2013,"130,000km",Petrol,660cc,Automatic,Not Certified,Customer,130000
Honda Civic 11th Generation 2024 RS,PKR 1.02 crore,10200000,Faisalabad,2024,"6,000km",Petrol,1500cc,Automatic,Not Certified,Customer,6000
Daihatsu Cuore  2007 ,PKR 8.5 lacs,850000,Karachi,2007,"126,780km",Petrol,800cc,Manual,Not Certified,Customer,126780
Toyota Corolla  1984 DX Saloon,PKR 11 lacs,1100000,Peshawar,1984,"200,000km",Petrol,1300cc,Manual,Not Certified,Customer,200000
Toyota Aygo  2015 X,PKR 26.7 lacs,2670000,Peshawar,2015,"56,000km",Petrol,1000cc,Manual,Not Certified,Customer,56000
Toyota Prado  2000 TZ 3.4,PKR 52.5 lacs,5250000,Lahore,2000,"150,000km",Petrol,3400cc,Automatic,Not Certified,Customer,150000
Chery Tiggo 8 Pro  2022 1.6 DEX Plus,PKR 78.5 lacs,7850000,Islamabad,2022,"44,000km",Petrol,1600cc,Automatic,Not Certified,Customer,44000
Changan Karvaan  2021 Base Model 1.0,PKR 23.5 lacs,2350000,Chichawatni,2021,"56,000km",Petrol,1000cc,Manual,Not Certified,Customer,56000
Honda Accord  2005 CL7,PKR 28 lacs,2800000,Lahore,2005,"170,000km",Petrol,2000cc,Automatic,Not Certified,Customer,170000
Suzuki Mehran  2006 VX,PKR 8 lacs,800000,Islamabad,2006,"7,860km",Petrol,800cc,Manual,Not Certified,Customer,7860
Toyota Prado  2010 TX L Package 2.7,PKR 1.5 crore,15000000,Karachi,2010,"102,000km",Petrol,2700cc,Automatic,Not Certified,Customer,102000
Toyota Corolla  2015 GLi 1.3 VVTi,PKR 34.5 lacs,3450000,Abbottabad,2015,"175,000km",Petrol,1300cc,Manual,Not Certified,Customer,175000
Honda City  2000 EXi S,PKR 13.8 lacs,1380000,Rawalpindi,2000,"200,000km",Petrol,1500cc,Manual,Not Certified,Customer,200000
Toyota Corolla  2020 Altis CVT-i 1.8,PKR 63 lacs,6300000,Bhalwal,2020,"70,000km",Petrol,1800cc,Automatic,Not Certified,Customer,70000
Toyota Corolla 8th (E110) Generation 1999 XE-G,PKR 14.8 lacs,1480000,Rawalpindi,1999,"80,000km",Petrol,1300cc,Manual,Not Certified,Customer,80000
Toyota Corolla  1992 LX Limited 1.5,PKR 7.85 lacs,785000,Gujrat,1992,"70,000km",Diesel,1500cc,Automatic,Not Certified,Customer,70000
Suzuki Mehran  2006 VX,PKR 5.7 lacs,570000,Lahore,2006,"23,778km",Petrol,800cc,Manual,Not Certified,Customer,23778
Toyota Fortuner  2021 2.7 VVTi,PKR 1.3 crore,13000000,Karachi,2021,"56,901km",Petrol,2700cc,Automatic,Certified,PakWheels,56901
Changan Karvaan  2021 Plus,PKR 21.25 lacs,2125000,Kasur,2021,"145,000km",Petrol,1200cc,Manual,Not Certified,Customer,145000
Suzuki Alto  2006 ,PKR 7.5 lacs,750000,Sialkot,2006,"80,000km",Petrol,1000cc,Manual,Not Certified,Customer,80000
Hyundai Shehzore  2005 Pickup H-100 (With Deck and Side Wall),PKR 24 lacs,2400000,Lahore,2005,"200,000km",Diesel,2600cc,Manual,Not Certified,Customer,200000
Toyota Vitz  2005 F 1.0,PKR 18 lacs,1800000,Karachi,2005,"108,000km",Petrol,1000cc,Automatic,Not Certified,Customer,108000
Toyota Corolla  2016 GLi Automatic 1.3 VVTi,PKR 36.5 lacs,3650000,Karachi,2016,"92,500km",Petrol,1300cc,Automatic,Not Certified,Customer,92500
Hyundai Shehzore  2005 Pickup H-100 (With Deck and Side Wall),PKR 21.5 lacs,2150000,Kamalia,2005,"250,000km",Diesel,2600cc,Manual,Not Certified,Customer,250000
Toyota Corolla  2017 GLi Automatic 1.3 VVTi,PKR 36.75 lacs,3675000,Karachi,2017,"84,000km",Petrol,1300cc,Automatic,Not Certified,Customer,84000
Honda Civic Rebirth 2012 VTi 1.8 i-VTEC,PKR 33.5 lacs,3350000,Lahore,2012,"44,500km",Petrol,1800cc,Manual,Not Certified,Customer,44500
Suzuki Alto  2022 VXR,PKR 26.5 lacs,2650000,Lahore,2022,"26,000km",Petrol,660cc,Manual,Not Certified,Customer,26000
Suzuki Mehran  2005 VXR,PKR 8.2 lacs,819999,Islamabad,2005,"209,000km",Petrol,800cc,Manual,Not Certified,Customer,209000
Suzuki Cultus  2004 VXR,PKR 6.5 lacs,650000,Karachi,2004,"28,637km",Petrol,1000cc,Manual,Not Certified,Customer,28637
MG HS  2021 Trophy,PKR 65.5 lacs,6550000,Islamabad,2021,"72,000km",Petrol,1500cc,Automatic,Not Certified,Customer,72000
MG HS  2021 Trophy,PKR 63 lacs,6300000,Lahore,2021,"38,000km",Petrol,1500cc,Automatic,Not Certified,Customer,38000
Toyota Belta  2006 X 1.3,PKR 23.5 lacs,2350000,Islamabad,2006,"125,000km",Petrol,1300cc,Automatic,Not Certified,Customer,125000
Honda Civic Reborn 2009 VTi Oriel Prosmatec 1.8 i-VTEC,PKR 27 lacs,2700000,Lahore,2009,"160,650km",Petrol,1800cc,Automatic,Not Certified,PakWheels,160650
Toyota Corolla  2020 Altis Automatic 1.6,PKR 47.5 lacs,4750000,Sialkot,2020,"65,000km",Petrol,1600cc,Automatic,Not Certified,Customer,65000
Suzuki Alto  2006 VXR,PKR 7.5 lacs,750000,Karachi,2006,"175,500km",Petrol,1000cc,Manual,Not Certified,Customer,175500
Changan Oshan X7  2024 Comfort,PKR 80.99 lacs,8098999,Karachi,2024,15km,Petrol,1500cc,Automatic,Not Certified,Customer,15
Changan Oshan X7  2024 Comfort,PKR 80.99 lacs,8098999,Karachi,2024,30km,Petrol,1500cc,Automatic,Not Certified,Customer,30
Deepal L07  2024 EV,PKR 1.55 crore,15500000,Karachi,2024,540km,Electric,66.8kWh,Automatic,Not Certified,Customer,540
Changan Oshan X7  2024 FutureSense,PKR 88.99 lacs,8899000,Karachi,2024,20km,Petrol,1500cc,Automatic,Not Certified,Customer,20
Suzuki Cultus  2009 VXLi,PKR 10.9 lacs,1090000,Lahore,2009,"990,000km",Petrol,1000cc,Manual,Not Certified,Customer,990000
Changan Oshan X7  2024 FutureSense,PKR 88.99 lacs,8899000,Karachi,2024,30km,Petrol,1500cc,Automatic,Not Certified,Customer,30
Suzuki Alto  2024 VXL AGS,PKR 30.45 lacs,3045000,Islamabad,2024,1km,Petrol,660cc,Automatic,Not Certified,Customer,1
Toyota Corolla  2021 Altis X Automatic 1.6,PKR 58 lacs,5800000,Lahore,2021,"25,000km",Petrol,1598cc,Automatic,Not Certified,Customer,25000
Changan Alsvin  2022 1.5L DCT Lumiere,PKR 43 lacs,4300000,Bahawalpur,2022,14km,Petrol,1500cc,Automatic,Not Certified,Customer,14
Daihatsu Charade  1987 CX,PKR 2.8 lacs,280000,Lahore,1987,"10,000km",Petrol,1000cc,Manual,Not Certified,Customer,10000
Proton Saga  2021 1.3L R3 M/T,PKR 30 lacs,3000000,Padidan,2021,"50,000km",Petrol,1300cc,Manual,Not Certified,Customer,50000
Toyota Aqua  2012 G LED Soft Leather Selection ,PKR 31 lacs,3100000,Karachi,2012,"7,860km",Hybrid,1500cc,Automatic,Not Certified,Customer,7860
Daihatsu Charade  1986 ,PKR 3.6 lacs,360000,Gujranwala,1986,"100,000km",Petrol,1300cc,Automatic,Not Certified,Customer,100000
Suzuki Bolan  2012 VX,PKR 6.8 lacs,680000,RahimYarKhan,2012,"62,711km",Petrol,800cc,Manual,Not Certified,Customer,62711
Toyota Vitz  2015 ,PKR 29.6 lacs,2960000,Karachi,2015,"87,750km",Petrol,1000cc,Automatic,Not Certified,Customer,87750
Toyota Aqua  2015 X Urban,PKR 41.5 lacs,4150000,Lahore,2015,"152,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,152000
Honda City  2006 ,PKR 16.3 lacs,1630000,Jhelum,2006,"200,000km",Petrol,1300cc,Manual,Not Certified,Customer,200000
Honda Life  2013 Diva Turbo Cool Select,PKR 15.3 lacs,1530000,Karachi,2013,"130,000km",Petrol,660cc,Automatic,Not Certified,Customer,130000
Honda City  2007 i-DSI,PKR 18.8 lacs,1880000,Islamabad,2007,"124,000km",Petrol,1300cc,Manual,Not Certified,Customer,124000
Honda City 5th (GM2) Generation 2018 1.5 i-VTEC Prosmatec,PKR 37 lacs,3700000,Lahore,2018,"73,000km",Petrol,1500cc,Automatic,Not Certified,Customer,73000
Toyota Corolla  2018 ,PKR 40.5 lacs,4050000,Hyderabad,2018,"86,000km",Petrol,1300cc,Manual,Not Certified,Customer,86000
Daihatsu Cuore  2006 CX Automatic,PKR 7.85 lacs,785000,Karachi,2006,"12,001km",Petrol,800cc,Automatic,Not Certified,Customer,12001
Toyota Corolla  2023 Altis 1.6 X CVT-i,PKR 62.25 lacs,6225000,Karachi,2023,"14,500km",Petrol,1600cc,Automatic,Not Certified,Customer,14500
Daihatsu Mira  2021 L,PKR 35.5 lacs,3550000,Karachi,2021,"11,300km",Petrol,660cc,Automatic,Not Certified,Customer,11300
Toyota Yaris  2021 ATIV MT 1.3,PKR 41 lacs,4100000,Khurrianwala,2021,"33,500km",Petrol,1300cc,Manual,Not Certified,Customer,33500
Mitsubishi Mirage  2014 1.0 M,PKR 21.5 lacs,2150000,Islamabad,2014,"90,000km",Petrol,1000cc,Automatic,Not Certified,Customer,90000
Toyota Corolla  2009 2.0D Saloon,PKR 27.8 lacs,2780000,Lahore,2009,"248,050km",Diesel,2000cc,Manual,Not Certified,Customer,248050
Toyota Corolla  2018 Altis Automatic 1.6,PKR 48 lacs,4800000,Lahore,2018,"61,340km",Petrol,1600cc,Automatic,Not Certified,Customer,61340
Honda Insight  2021 EX,PKR 1.29 crore,12900000,Islamabad,2021,"29,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,29000
Honda Civic Reborn 2008 VTi Oriel 1.8 i-VTEC,PKR 26.3 lacs,2630000,Islamabad,2008,"160,000km",Petrol,1800cc,Manual,Not Certified,Customer,160000
Suzuki Alto  2020 VXL AGS,PKR 25.7 lacs,2570000,Karachi,2020,"55,000km",Petrol,660cc,Automatic,Not Certified,Customer,55000
Suzuki Cultus  2017 Limited Edition,PKR 18.5 lacs,1850000,DuniaPur,2017,"23,000km",Petrol,1000cc,Manual,Not Certified,Customer,23000
Honda Civic  2017 Oriel 1.8 i-VTEC CVT,PKR 46.5 lacs,4650000,Lahore,2017,"118,000km",Petrol,1800cc,Automatic,Not Certified,Customer,118000
Honda Civic Eagle Eye 2005 EXi Prosmatec,PKR 15 lacs,1500000,Lahore,2005,"166,000km",Petrol,1500cc,Automatic,Not Certified,Customer,166000
Suzuki Alto  2006 VXR,PKR 7.85 lacs,785000,Karachi,2006,"210,000km",Petrol,1000cc,Manual,Not Certified,Customer,210000
KIA Classic  2003 LX,PKR 3 lacs,300000,Multan,2003,"2,000km",Petrol,1323cc,Manual,Not Certified,Customer,2000
Suzuki Liana  2009 ,PKR 12 lacs,1200000,Gujranwala,2009,"165,000km",Petrol,1300cc,Manual,Not Certified,Customer,165000
Toyota Corolla  2009 XLi VVTi,PKR 20 lacs,2000000,Muridke,2009,"123,000km",Petrol,1300cc,Manual,Not Certified,Customer,123000
Toyota Corolla  2021 Altis X Automatic 1.6,PKR 56 lacs,5600000,Islamabad,2021,"55,000km",Petrol,1600cc,Automatic,Not Certified,Customer,55000
Toyota Corolla  2010 GLi 1.3 VVTi,PKR 21.5 lacs,2150000,Karachi,2010,"218,000km",Petrol,1300cc,Manual,Not Certified,Customer,218000
Hyundai Santro  2001 ,PKR 7.5 lacs,750000,Gakharmandi,2001,"185,000km",Petrol,1000cc,Manual,Not Certified,Customer,185000
Toyota Vitz  2007 B Intelligent Package 1.0,PKR 21.5 lacs,2150000,Lahore,2007,"1,820km",Petrol,1000cc,Automatic,Not Certified,Customer,1820
Honda Civic Reborn 2007 VTi Oriel Prosmatec 1.8 i-VTEC,PKR 21.5 lacs,2150000,Kasur,2007,"161,000km",Petrol,1800cc,Automatic,Not Certified,Customer,161000
Suzuki Cultus  2013 EURO II,PKR 13.75 lacs,1375000,Karachi,2013,"70,000km",Petrol,1000cc,Manual,Not Certified,Customer,70000
Suzuki Ravi  2015 ,PKR 10 lacs,1000000,Rawalpindi,2015,999km,Petrol,800cc,Manual,Not Certified,Customer,999
Toyota Vitz  2018 F 1.0,PKR 37.4 lacs,3740000,Karachi,2018,"79,200km",Petrol,996cc,Automatic,Not Certified,Customer,79200
Mitsubishi Mirage  2013 1.0 G,PKR 22.5 lacs,2250000,Karachi,2013,"148,000km",Petrol,1000cc,Automatic,Not Certified,Customer,148000
Suzuki FX  1987 ,PKR 3.2 lacs,320000,Charsadda,1987,"100,000km",Petrol,800cc,Manual,Not Certified,Customer,100000
Toyota Prius Alpha  2011 ,PKR 38.5 lacs,3850000,Karachi,2011,"91,500km",Hybrid,1800cc,Automatic,Not Certified,Customer,91500
Suzuki Bolan  2021 VX Euro II,PKR 16.3 lacs,1630000,Sialkot,2021,"55,000km",Petrol,800cc,Manual,Not Certified,Customer,55000
Toyota Vitz  2007 F 1.0,PKR 21 lacs,2100000,Karachi,2007,"120,000km",Petrol,1000cc,Automatic,Not Certified,Customer,120000
Honda City  2006 i-DSI Vario,PKR 21.9 lacs,2190000,Lahore,2006,"100,000km",Petrol,1300cc,Automatic,Not Certified,Customer,100000
Toyota Corolla Hybrid  2020 ,PKR 89 lacs,8900000,Karachi,2020,"20,000km",Hybrid,1800cc,Automatic,Not Certified,Customer,20000
Hyundai Santro  2005 Club,PKR 9.5 lacs,950000,Burewala,2005,"128,000km",Petrol,1000cc,Manual,Not Certified,Customer,128000
Honda Civic Rebirth 2012 Oriel Prosmatec UG,PKR 36.2 lacs,3620000,Lahore,2012,"170,000km",Petrol,1800cc,Automatic,Not Certified,Customer,170000
Toyota Corolla  2018 GLi 1.3 VVTi,PKR 43.5 lacs,4350000,Peshawar,2018,"71,600km",Petrol,1300cc,Manual,Not Certified,Customer,71600
Suzuki Cultus  2016 Limited Edition,PKR 17 lacs,1700000,Karachi,2016,"67,000km",Petrol,1000cc,Manual,Not Certified,Customer,67000
Suzuki Mehran  2017 VXR Euro II,PKR 15 lacs,1500000,Abbottabad,2017,"77,000km",Petrol,796cc,Manual,Not Certified,Customer,77000
Mazda Bongo  1993 ,PKR 12 lacs,1200000,Faisalabad,1993,"10,000km",Petrol,2200cc,Manual,Not Certified,Customer,10000
Nissan Dayz  2014 Highway star X,PKR 23 lacs,2300000,Rawalpindi,2014,"93,000km",Petrol,660cc,Automatic,Not Certified,Customer,93000
