Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Honda City 5th (GM2) Generation 2017 Aspire 1.3 i-VTEC,PKR 32.5 lacs,3250000,RahimYarKhan,2017,"111,000km",Petrol,1300cc,Manual,Not Certified,Customer,111000
Toyota Corolla  2019 GLi Automatic 1.3 VVTi,PKR 38.6 lacs,3860000,Islamabad,2019,"120,000km",Petrol,1300cc,Automatic,Not Certified,Customer,120000
Toyota Hilux  1996 ,PKR 45 lacs,4500000,Gujranwala,1996,"100,000km",Diesel,3000cc,Automatic,Not Certified,Customer,100000
Honda Civic  2021 Oriel 1.8 i-VTEC CVT,PKR 63.5 lacs,6350000,Islamabad,2021,"28,500km",Petrol,1800cc,Automatic,Not Certified,Customer,28500
Toyota Vitz  2013 ,PKR 25 lacs,2500000,Lahore,2013,"140,000km",Petrol,1000cc,Automatic,Not Certified,Customer,140000
Toyota Land Cruiser  2015 ZX,PKR 2.7 crore,27000000,Lahore,2015,"117,024km",Petrol,4600cc,Automatic,Not Certified,PakWheels,117024
Toyota Corolla  2016 GLi 1.3 VVTi,PKR 32 lacs,3200000,Karachi,2016,"95,000km",Petrol,1300cc,Manual,Not Certified,Customer,95000
Suzuki Alto  2008 VXR,PKR 10 lacs,1000000,Jhelum,2008,"30,000km",Petrol,1000cc,Manual,Not Certified,Customer,30000
Toyota Corolla  2021 Altis X Automatic 1.6,PKR 58.25 lacs,5825000,Islamabad,2021,"28,500km",Petrol,1598cc,Automatic,Not Certified,Customer,28500
Suzuki Mehran  2005 VXR,PKR 6.3 lacs,630000,Vehari,2005,"23,638km",Petrol,800cc,Manual,Not Certified,Customer,23638
Honda City 5th (GM2) Generation 2017 Aspire Prosmatec 1.5 i-VTEC,PKR 37.5 lacs,3750000,Chunian,2017,"69,000km",Petrol,1500cc,Automatic,Not Certified,Customer,69000
KIA Picanto  2019 1.0 AT,PKR 26.5 lacs,2650000,Multan,2019,"61,000km",Petrol,1000cc,Automatic,Not Certified,Customer,61000
Bentley Continental Gt  2005 Speed,PKR 3 crore,30000000,Islamabad,2005,"60,000km",Petrol,6000cc,Automatic,Not Certified,Customer,60000
Suzuki Alto  2012 E,PKR 20.25 lacs,2025000,DGKhan,2012,"80,000km",Petrol,660cc,Automatic,Not Certified,Customer,80000
Suzuki Mehran  2009 VX,PKR 8.8 lacs,880000,Islamabad,2009,"75,000km",Petrol,800cc,Manual,Not Certified,Customer,75000
Honda City  1999 ,PKR 12.5 lacs,1250000,Abbottabad,1999,"100,000km",Petrol,1300cc,Manual,Not Certified,Customer,100000
Toyota Aqua  2013 X Urban Solid,PKR 31.4 lacs,3140000,Faisalabad,2013,"140,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,140000
Toyota Corolla  2017 GLi Automatic 1.3 VVTi,PKR 36.5 lacs,3650000,Lahore,2017,"167,658km",Petrol,1300cc,Automatic,Not Certified,Customer,167658
Suzuki Alto  2006 VXR,PKR 7.5 lacs,750000,Swabi,2006,"99,999km",Petrol,1000cc,Manual,Not Certified,Customer,99999
Suzuki Cultus  2018 Auto Gear Shift,PKR 26 lacs,2600000,Karachi,2018,"93,000km",Petrol,1000cc,Automatic,Not Certified,Customer,93000
