Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Suzuki Alto  2010 VXR (CNG),PKR 9.75 lacs,975000,Karachi,2010,"180,000km",LPG,1000cc,Manual,Not Certified,Customer,180000
Suzuki Alto  2005 VXR (CNG),PKR 11 lacs,1100000,Islamabad,2005,"1,500km",Petrol,1000cc,Manual,Not Certified,Customer,1500
Toyota Corolla  2000 ,PKR 26.2 lacs,2620000,Islamabad,2000,"260,000km",Petrol,1500cc,Automatic,Not Certified,Customer,260000
MG HS  2022 ,PKR 70 lacs,7000000,Chakwal,2022,"17,000km",Petrol,1500cc,Automatic,Not Certified,Customer,17000
Hyundai Santro  2001 Plus,PKR 7.5 lacs,750000,Lahore,2001,1km,Petrol,1000cc,Manual,Not Certified,Customer,1
Suzuki Cultus  2015 EURO II,PKR 16.8 lacs,1680000,Faisalabad,2015,"48,800km",Petrol,1000cc,Manual,Not Certified,Customer,48800
Honda Civic  1996 EXi,PKR 8.5 lacs,850000,Nankanasahib,1996,"155,518km",Petrol,1500cc,Manual,Not Certified,Customer,155518
Suzuki Alto  2020 VXR,PKR 22 lacs,2200000,Karachi,2020,"77,123km",Petrol,660cc,Manual,Not Certified,Customer,77123
Audi A4  2016 1.4 TFSI ,PKR 1.1 crore,11000000,Rawalpindi,2016,"89,000km",Petrol,1400cc,Automatic,Not Certified,Customer,89000
Suzuki Bolan  2010 VX,PKR 7.1 lacs,710000,Lahore,2010,"100,000km",Petrol,800cc,Manual,Not Certified,Customer,100000
Honda Civic Reborn 2009 VTi Prosmatec 1.8 i-VTEC,PKR 21 lacs,2100000,Islamabad,2009,"198,000km",Petrol,1800cc,Automatic,Not Certified,Customer,198000
Mitsubishi EK Custom  2013 G,PKR 24.5 lacs,2450000,Rawalpindi,2013,"115,000km",Petrol,660cc,Automatic,Not Certified,Customer,115000
Toyota Corolla  2016 Altis Grande CVT-i 1.8,PKR 37.5 lacs,3750000,Karachi,2016,"84,000km",Petrol,1800cc,Automatic,Not Certified,Customer,84000
Toyota Corolla  2010 GLi 1.3 VVTi,PKR 21.75 lacs,2175000,Karachi,2010,"114,000km",Petrol,1300cc,Manual,Not Certified,Customer,114000
Suzuki Mehran  2012 VX Euro II,PKR 7.38 lacs,738000,Karachi,2012,"84,535km",Petrol,800cc,Manual,Not Certified,Customer,84535
Suzuki Mehran  2013 VXR Euro II,PKR 10.5 lacs,1050000,Khanewal,2013,"60,000km",Petrol,800cc,Manual,Not Certified,Customer,60000
Suzuki Mehran  2010 VXR,PKR 9 lacs,900000,Lahore,2010,"116,119km",Petrol,800cc,Manual,Not Certified,Customer,116119
Hyundai Tucson  2021 AWD A/T Ultimate,PKR 74.5 lacs,7450000,Faisalabad,2021,"32,678km",Petrol,2000cc,Automatic,Not Certified,Customer,32678
Nissan Dayz  2019 Highway star G,PKR 23 lacs,2300000,Karachi,2019,"100,000km",Petrol,660cc,Automatic,Not Certified,Customer,100000
Toyota Vitz  1999 FL 1.0,PKR 15.75 lacs,1575000,Karachi,1999,"100,000km",Petrol,1000cc,Automatic,Not Certified,Customer,100000
Mitsubishi Minicab  2011 G,PKR 11.9 lacs,1190000,Rawalpindi,2011,"27,000km",Petrol,660cc,Automatic,Not Certified,Customer,27000
Toyota Land Cruiser  2006 ,PKR 1.1 crore,11000000,Islamabad,2006,"185,000km",Diesel,4200cc,Automatic,Not Certified,Customer,185000
Toyota Corolla  2015 GLi Automatic 1.3 VVTi,PKR 34.5 lacs,3450000,Mandibahauddin,2015,"192,000km",Petrol,1300cc,Automatic,Not Certified,Customer,192000
Honda Civic Rebirth 2016 VTi Prosmatec 1.8 i-VTEC,PKR 43 lacs,4300000,Rawalpindi,2016,"108,753km",Petrol,1800cc,Automatic,Not Certified,Customer,108753
Honda City 6th Generation 2022 1.5L ASPIRE CVT,PKR 52 lacs,5200000,Islamabad,2022,30km,Petrol,1500cc,Automatic,Not Certified,Customer,30
Fiat Uno  2014 ,PKR 4.5 lacs,450000,Islamabad,2014,"200,000km",Petrol,1300cc,Manual,Not Certified,Customer,200000
Toyota Corolla 9th (E120) Generation 2004 GLi 1.3,PKR 14 lacs,1400000,PindiBhattian,2004,"400,000km",Petrol,1300cc,Manual,Not Certified,Customer,400000
Toyota Yaris Hatchback  2020 ,PKR 52 lacs,5200000,Karachi,2020,"13,000km",Petrol,1000cc,Automatic,Not Certified,Customer,13000
Honda Civic  2018 Oriel 1.8 i-VTEC CVT,PKR 52 lacs,5200000,Karachi,2018,"46,200km",Petrol,1800cc,Automatic,Not Certified,Customer,46200
Toyota Corolla  2019 GLi 1.3 VVTi,PKR 43.5 lacs,4350000,ZahirPeer,2019,"57,000km",Petrol,1300cc,Manual,Not Certified,Customer,57000
Toyota Prado 2nd (J90) Generation 2002 TZ 3.0D,PKR 58 lacs,5800000,Hazro,2002,260km,Diesel,3000cc,Automatic,Not Certified,Customer,260
Honda Civic  2019 Oriel 1.8 i-VTEC CVT,PKR 53.5 lacs,5350000,Faisalabad,2019,"77,500km",Petrol,1800cc,Automatic,Not Certified,Customer,77500
Suzuki Mehran  2017 VX Euro II,PKR 13.5 lacs,1350000,Islamabad,2017,"100,000km",Petrol,796cc,Manual,Not Certified,Customer,100000
Daihatsu Sonica  2007 RS,PKR 16.5 lacs,1650000,Lahore,2007,"184,000km",Petrol,660cc,Automatic,Not Certified,Customer,184000
Honda City  2004 i-DSI,PKR 20.25 lacs,2025000,Rawalpindi,2004,"264,400km",Petrol,1300cc,Manual,Not Certified,Customer,264400
Honda Civic  2016 Turbo 1.5 VTEC CVT,PKR 49 lacs,4900000,Lahore,2016,"92,000km",Petrol,1500cc,Automatic,Not Certified,Customer,92000
Suzuki Baleno  2005 JXR,PKR 14.5 lacs,1450000,Rawalpindi,2005,"180,000km",Petrol,1300cc,Manual,Not Certified,Customer,180000
Honda Civic Rebirth 2013 VTi Prosmatec 1.8 i-VTEC,PKR 34.5 lacs,3450000,Peshawar,2013,"100,000km",Petrol,1800cc,Automatic,Not Certified,Customer,100000
Honda N Wgn  2014 Custom G Turbo,PKR 24.5 lacs,2450000,Karachi,2014,"97,000km",Petrol,660cc,Automatic,Not Certified,Customer,97000
Toyota Corolla 8th (E110) Generation 1996 XE,PKR 11 lacs,1100000,Mansehra,1996,"100,000km",Petrol,1300cc,Manual,Not Certified,Customer,100000
Daihatsu Tanto  2015 G,PKR 22.9 lacs,2290000,Karachi,2015,"53,000km",Petrol,660cc,Automatic,Not Certified,Customer,53000
Suzuki Liana  2007 LXi Sport,PKR 9.69 lacs,969000,Okara,2007,"85,000km",Petrol,1300cc,Manual,Not Certified,Customer,85000
Honda Civic  2007 VTi Prosmatec 1.8 i-VTEC,PKR 17.9 lacs,1789999,Sialkot,2007,"200,000km",Petrol,1800cc,Automatic,Not Certified,Customer,200000
Nissan Dayz  2014 Highway Star G,PKR 26.5 lacs,2650000,Karachi,2014,"83,000km",Petrol,660cc,Automatic,Not Certified,Customer,83000
Toyota Vitz  2014 F 1.0,PKR 29.3 lacs,2930000,Islamabad,2014,"180,000km",Petrol,1000cc,Automatic,Not Certified,Customer,180000
Toyota Corolla  2015 GLi Automatic 1.3 VVTi,PKR 32.35 lacs,3235000,Lahore,2015,"253,500km",Petrol,1300cc,Automatic,Not Certified,Customer,253500
Honda City 5th (GM2) Generation 2017 1.3 i-VTEC Prosmatec,PKR 32 lacs,3200000,Karachi,2017,"80,000km",Petrol,1300cc,Automatic,Not Certified,Customer,80000
Toyota Vitz  2004 FL 1.0,PKR 18.75 lacs,1875000,Karachi,2004,"90,000km",Petrol,1000cc,Automatic,Not Certified,Customer,90000
Toyota Fortuner  2021 2.8 Sigma 4,PKR 1.56 crore,15600000,Lahore,2021,"41,000km",Diesel,2800cc,Automatic,Not Certified,Customer,41000
Honda Vezel  2018 Hybrid Z,PKR 77 lacs,7700000,Lahore,2018,"45,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,45000
Honda N Wgn  2022 Custom,PKR 42 lacs,4200000,Lahore,2022,"8,590km",Petrol,660cc,Automatic,Not Certified,Customer,8590
Toyota Corolla  2011 GLi 1.3 VVTi Ecotec ,PKR 37.5 lacs,3750000,Islamabad,2011,"35,000km",Petrol,1300cc,Manual,Not Certified,Customer,35000
Toyota Land Cruiser  1992 ,PKR 75 lacs,7500000,Hyderabad,1992,"26,117km",Diesel,3000cc,Automatic,Not Certified,Customer,26117
Nissan Note  2021 e-Power X,PKR 65.5 lacs,6550000,Gujranwala,2021,"61,000km",Hybrid,1200cc,Automatic,Not Certified,Customer,61000
Suzuki Cultus  2021 Auto Gear Shift,PKR 34 lacs,3400000,Lahore,2021,"67,000km",Petrol,1000cc,Automatic,Not Certified,Customer,67000
Suzuki Cultus  2008 VXRi,PKR 9 lacs,900000,Karachi,2008,"100,000km",Petrol,1000cc,Manual,Not Certified,Customer,100000
Honda City  2017 Aspire 1.3 i-VTEC,PKR 32.75 lacs,3275000,Chunian,2017,"93,000km",Petrol,1300cc,Manual,Not Certified,Customer,93000
Toyota Corolla  2015 GLi 1.3 VVTi,PKR 36 lacs,3600000,Peshawar,2015,"107,000km",Petrol,1300cc,Manual,Not Certified,Customer,107000
Toyota Yaris Hatchback  2022 ,PKR 47.7 lacs,4770000,Islamabad,2022,"91,000km",Petrol,1000cc,Automatic,Not Certified,Customer,91000
Toyota Yaris Hatchback  2021 ,PKR 46.5 lacs,4650000,Islamabad,2021,"51,000km",Petrol,1000cc,Automatic,Not Certified,Customer,51000
Toyota Mark X  2005 250G F Package,PKR 43 lacs,4300000,Lahore,2005,"102,400km",Petrol,2500cc,Automatic,Not Certified,Customer,102400
Mitsubishi Pajero  1993 ,PKR 18 lacs,1800000,Karachi,1993,"300,000km",Diesel,2500cc,Manual,Not Certified,Customer,300000
Nissan Serena  2018 HIGHWAY STAR,PKR 67.8 lacs,6780000,Lahore,2018,"59,000km",Hybrid,1200cc,Automatic,Not Certified,Customer,59000
Toyota Land Cruiser  1989 ,PKR 16 lacs,1600000,Karachi,1989,123km,Petrol,3000cc,Manual,Not Certified,Customer,123
Mercedes Benz C Class  2001 ,PKR 26 lacs,2600000,Peshawar,2001,"150,000km",Petrol,2000cc,Automatic,Not Certified,Customer,150000
Honda Civic  2009 VTi Oriel Prosmatec 1.8 i-VTEC,PKR 23.9 lacs,2390000,Islamabad,2009,"158,000km",Petrol,1800cc,Automatic,Not Certified,Customer,158000
Honda Civic  2022 Oriel 1.8 i-VTEC CVT,PKR 68.95 lacs,6895000,MianChannu,2022,"22,000km",Petrol,1800cc,Automatic,Not Certified,Customer,22000
Honda Civic Rebirth 2013 VTi Oriel 1.8 i-VTEC,PKR 40 lacs,4000000,Attock,2013,"1,800km",Petrol,1800cc,Manual,Not Certified,Customer,1800
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Beige Interior,PKR 67 lacs,6700000,Lahore,2022,40km,Petrol,1800cc,Automatic,Not Certified,Customer,40
Toyota Yaris Hatchback  2021 ,PKR 26 lacs,2600000,Gujranwala,2021,"90,000km",Petrol,1000cc,Automatic,Not Certified,Customer,90000
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior,PKR 64.5 lacs,6450000,Mirpurkhas,2021,"25,000km",Petrol,1800cc,Automatic,Not Certified,Customer,25000
Suzuki Swift  2022 ,PKR 45 lacs,4500000,Nawabshah,2022,"32,500km",Petrol,1200cc,Automatic,Not Certified,Customer,32500
KIA Sportage  2021 AWD,PKR 71 lacs,7100000,Multan,2021,"66,000km",Petrol,2000cc,Automatic,Not Certified,Customer,66000
Toyota Probox  2005 ,PKR 14.75 lacs,1475000,Rawalpindi,2005,"20,000km",Petrol,1600cc,Automatic,Not Certified,Customer,20000
Honda City  2000 EXi,PKR 11 lacs,1100000,Karachi,2000,"175,000km",Petrol,1300cc,Manual,Not Certified,Customer,175000
Daihatsu Charade  1988 CX,PKR 7.5 lacs,750000,Sheikhupura,1988,"98,000km",Petrol,1000cc,Manual,Not Certified,Customer,98000
Honda Civic Reborn 2011 VTi 1.8 i-VTEC,PKR 23.5 lacs,2350000,Rawalpindi,2011,"113,000km",Petrol,1800cc,Manual,Not Certified,Customer,113000
Toyota Yaris  2021 ATIV CVT 1.3,PKR 43 lacs,4300000,Gujranwala,2021,"45,214km",Petrol,1300cc,Automatic,Not Certified,Customer,45214
Honda City 5th (GM2) Generation 2016 1.3 i-VTEC,PKR 31.9 lacs,3190000,Islamabad,2016,"116,000km",Petrol,1300cc,Manual,Not Certified,Customer,116000
Mitsubishi Pajero  1996 ,PKR 32 lacs,3200000,Rawalpindi,1996,"92,000km",Petrol,3000cc,Automatic,Not Certified,Customer,92000
Suzuki Wagon R  2021 Hybrid FX,PKR 38.1 lacs,3810000,Karachi,2021,"18,000km",Hybrid,660cc,Automatic,Not Certified,Customer,18000
Hyundai Elantra  2021 GLS,PKR 59.5 lacs,5950000,Lahore,2021,"52,000km",Petrol,2000cc,Automatic,Not Certified,Customer,52000
Suzuki Wagon R  2017 VXL,PKR 23 lacs,2300000,Lahore,2017,"80,000km",Petrol,1000cc,Manual,Not Certified,Customer,80000
Toyota Corolla 8th (E110) Generation 1994 GL,PKR 10.5 lacs,1050000,Kashmir,1994,"100,000km",Petrol,1300cc,Manual,Not Certified,Customer,100000
Honda Civic  2018 Oriel 1.8 i-VTEC CVT,PKR 53 lacs,5300000,Lahore,2018,"71,000km",Petrol,1800cc,Automatic,Not Certified,Customer,71000
Suzuki Mehran  2013 VX Euro II,PKR 9.65 lacs,965000,Wahcantt,2013,"69,000km",Petrol,796cc,Manual,Not Certified,Customer,69000
Toyota Yaris Hatchback  2021 X,PKR 42.65 lacs,4265000,Karachi,2021,"30,000km",Petrol,1000cc,Automatic,Not Certified,Customer,30000
Toyota Belta  2006 G 1.3,PKR 19.5 lacs,1950000,Lahore,2006,"150,000km",Petrol,1300cc,Automatic,Not Certified,Customer,150000
Toyota Roomy  2021 XS,PKR 38.25 lacs,3825000,Gujranwala,2021,"13,500km",Petrol,996cc,Automatic,Not Certified,Customer,13500
Suzuki Swift  2015 DLX 1.3,PKR 21.3 lacs,2130000,Lahore,2015,"124,000km",Petrol,1300cc,Manual,Not Certified,Customer,124000
Suzuki Wagon R  2019 VXL,PKR 24.2 lacs,2420000,Multan,2019,"69,000km",Petrol,1000cc,Manual,Not Certified,Customer,69000
Toyota Prius  2020 ,PKR 61 lacs,6100000,Lahore,2020,"244,000km",Hybrid,1800cc,Automatic,Not Certified,Customer,244000
Toyota Mark II  2003 Grande 2.5,PKR 29.5 lacs,2950000,Lahore,2003,"180,000km",Petrol,2500cc,Automatic,Not Certified,Customer,180000
Daihatsu Charade  1986 CL,PKR 4.2 lacs,420000,Taxila,1986,"10,000km",Petrol,1000cc,Manual,Not Certified,Customer,10000
Toyota Aqua  2014 G,PKR 36 lacs,3600000,Lahore,2014,"325,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,325000
Toyota Hilux  2022 Revo V Automatic 2.8,PKR 1.31 crore,13100000,Karachi,2022,"40,000km",Diesel,2800cc,Automatic,Not Certified,Customer,40000
Honda Civic  2001 EXi Automatic,PKR 11.2 lacs,1120000,Karachi,2001,"123,000km",Petrol,1500cc,Automatic,Not Certified,Customer,123000
Datsun 120 Y  1974 Y 1.2,PKR 8 lacs,800000,Lahore,1974,"14,000km",Petrol,1200cc,Manual,Not Certified,Customer,14000
Suzuki Alto  2007 VXR (CNG),PKR 7.5 lacs,750000,Karachi,2007,"100,000km",Petrol,1000cc,Manual,Not Certified,Customer,100000
Toyota Hilux  2003 Tiger,PKR 29.5 lacs,2950000,Karachi,2003,"100,000km",Diesel,3000cc,Automatic,Not Certified,Customer,100000
Toyota Fortuner  2022 2.8 Sigma 4,PKR 1.69 crore,16900000,Islamabad,2022,"49,000km",Diesel,2800cc,Automatic,Not Certified,Customer,49000
Suzuki Cultus  2009 VXRi,PKR 10.95 lacs,1095000,Faisalabad,2009,"150,000km",Petrol,1000cc,Manual,Not Certified,Customer,150000
Daihatsu Mira  2015 ES,PKR 23.9 lacs,2390000,Lahore,2015,"87,000km",Petrol,660cc,Automatic,Not Certified,Customer,87000
Honda Civic  2005 EXi,PKR 14.35 lacs,1435000,Faisalabad,2005,"286,675km",Petrol,1500cc,Manual,Not Certified,Customer,286675
KIA Picanto  2021 1.0 AT,PKR 28 lacs,2800000,Karachi,2021,"14,000km",Petrol,1000cc,Automatic,Not Certified,Customer,14000
Honda Civic  2020 Oriel 1.8 i-VTEC CVT,PKR 61.5 lacs,6150000,Karachi,2020,"17,000km",Petrol,1800cc,Automatic,Not Certified,Customer,17000
