Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Suzuki Wagon R  2019 Hybrid FZ,PKR 32 lacs,3200000,Islamabad,2019,"63,718km",Hybrid,660cc,Automatic,Not Certified,Customer,63718
KIA Sportage  2021 AWD,PKR 72.5 lacs,7250000,Lahore,2021,"85,000km",Petrol,2000cc,Automatic,Not Certified,Customer,85000
Honda City 5th (GM2) Generation 2020 Aspire Prosmatec 1.5 i-VTEC,PKR 40.2 lacs,4020000,Sukkur,2020,"40,000km",Petrol,1500cc,Automatic,Not Certified,Customer,40000
KIA Classic  2005 LX,PKR 4.3 lacs,430000,Karachi,2005,"182,000km",Petrol,1323cc,Manual,Not Certified,Customer,182000
Suzuki Mehran  2005 VXR,PKR 6.75 lacs,675000,Lahore,2005,"38,000km",Petrol,800cc,Manual,Not Certified,Customer,38000
Suzuki Mehran  2016 VX Euro II,PKR 15 lacs,1500000,Rawalpindi,2016,"24,000km",Petrol,796cc,Manual,Not Certified,Customer,24000
MG HS  2021 Trophy,PKR 64.85 lacs,6484999,Lahore,2021,"82,500km",Petrol,1500cc,Automatic,Not Certified,Customer,82500
Honda Vezel  2019 Hybrid Z Honda Sensing ,PKR 72 lacs,7200000,Lahore,2019,"69,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,69000
Daihatsu Terios  2008 ,PKR 23 lacs,2300000,Lahore,2008,"99,000km",Petrol,1300cc,Automatic,Not Certified,Customer,99000
Honda Vezel  2014 Hybrid Z,PKR 50 lacs,5000000,Lahore,2014,"134,176km",Hybrid,1500cc,Automatic,Not Certified,Customer,134176
Toyota Prius  2012 ,PKR 44.65 lacs,4465000,Sialkot,2012,"154,000km",Hybrid,1800cc,Automatic,Not Certified,Customer,154000
Honda Civic  2017 Oriel 1.8 i-VTEC CVT,PKR 48 lacs,4800000,Sargodha,2017,"85,000km",Petrol,1800cc,Automatic,Not Certified,Customer,85000
Toyota Aqua  2013 ,PKR 34.7 lacs,3470000,Lahore,2013,"140,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,140000
Daihatsu Hijet  2013 ,PKR 12.2 lacs,1220000,Lahore,2013,"115,000km",Petrol,660cc,Manual,Not Certified,Customer,115000
Honda Civic Reborn 2010 VTi Prosmatec 1.8 i-VTEC,PKR 24.75 lacs,2475000,Lahore,2010,"108,000km",Petrol,1800cc,Automatic,Not Certified,Customer,108000
Toyota Corolla  2017 GLi 1.3 VVTi,PKR 36 lacs,3600000,Karachi,2017,"85,000km",Petrol,1300cc,Manual,Not Certified,Customer,85000
Toyota Passo  2017 X G Package,PKR 31.5 lacs,3150000,Sialkot,2017,"60,000km",Petrol,1000cc,Automatic,Not Certified,Customer,60000
Suzuki Cultus  2013 ,PKR 13.3 lacs,1330000,Karachi,2013,"68,000km",Petrol,1000cc,Manual,Not Certified,Customer,68000
Toyota Yaris Hatchback  2020 ,PKR 41.5 lacs,4150000,Lahore,2020,"27,500km",Petrol,1000cc,Automatic,Not Certified,Customer,27500
Hyundai Sonata  2022 2.5,PKR 96.5 lacs,9650000,Multan,2022,"26,000km",Petrol,2500cc,Automatic,Not Certified,Customer,26000
Suzuki Mehran  2013 VXR Euro II,PKR 11 lacs,1100000,Rawalpindi,2013,"74,000km",Petrol,796cc,Manual,Not Certified,Customer,74000
Daihatsu Charade  1986 ,PKR 4.4 lacs,440000,Lahore,1986,"220,000km",Petrol,660cc,Manual,Not Certified,Customer,220000
Daihatsu Cuore  2008 CX Automatic,PKR 11.45 lacs,1145000,Rawalpindi,2008,"50,000km",Petrol,800cc,Automatic,Not Certified,Customer,50000
Toyota Corolla 9th (E120) Generation 2007 XLi,PKR 25.2 lacs,2520000,Peshawar,2007,"110,000km",Petrol,1300cc,Manual,Not Certified,Customer,110000
Mitsubishi Lancer  2005 GLX 1.3,PKR 14.3 lacs,1430000,Islamabad,2005,"95,000km",Petrol,1300cc,Manual,Not Certified,Customer,95000
