Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Suzuki Margalla  1994 GL,PKR 6.5 lacs,650000,Hafizabad,1994,"65,000km",Petrol,1300cc,Manual,Not Certified,Customer,65000
Toyota Corolla  2019 GLi Automatic 1.3 VVTi,PKR 46.5 lacs,4650000,Islamabad,2019,"99,000km",Petrol,1300cc,Automatic,Not Certified,Customer,99000
Nissan Moco  2015 ,PKR 21.75 lacs,2175000,Lahore,2015,"68,000km",Petrol,660cc,Automatic,Not Certified,Customer,68000
Honda City 6th Generation 2024 1.5L ASPIRE CVT,PKR 60.5 lacs,6050000,Islamabad,2024,50km,Petrol,1500cc,Automatic,Not Certified,Customer,50
Toyota Corolla  2010 GLi 1.3 VVTi,PKR 20.5 lacs,2050000,Karachi,2010,"129,000km",Petrol,1300cc,Manual,Not Certified,Customer,129000
Daihatsu Charade  1986 ,PKR 4.5 lacs,450000,Karachi,1986,"10,000km",Petrol,1000cc,Manual,Not Certified,Customer,10000
Proton Saga  2022 1.3L Ace A/T,PKR 25.5 lacs,2550000,Islamabad,2022,"47,000km",Petrol,1300cc,Automatic,Not Certified,Customer,47000
Peugeot 2008  2023 Allure,PKR 62 lacs,6200000,Lahore,2023,"28,000km",Petrol,1200cc,Automatic,Not Certified,Customer,28000
Hyundai Elantra  2022 GLS,PKR 60.25 lacs,6025000,Karachi,2022,"43,900km",Petrol,2000cc,Automatic,Not Certified,Customer,43900
Suzuki Swift  2022 GL CVT,PKR 39.5 lacs,3950000,Multan,2022,"52,000km",Petrol,1200cc,Automatic,Not Certified,Customer,52000
Honda Civic  2021 Oriel 1.8 i-VTEC CVT,PKR 63 lacs,6300000,Layyah,2021,"30,000km",Petrol,1800cc,Automatic,Not Certified,Customer,30000
Toyota Yaris  2015 ,PKR 33.5 lacs,3350000,MianWali,2015,"120,000km",Petrol,1300cc,Manual,Not Certified,Customer,120000
Mitsubishi Lancer  2004 GL,PKR 13 lacs,1300000,Islamabad,2004,"125,000km",Petrol,1300cc,Manual,Not Certified,Customer,125000
Honda Grace Hybrid 6th (GM4) Generation 2015 EX,PKR 42.5 lacs,4250000,Karachi,2015,"91,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,91000
Mitsubishi Lancer  1991 ,PKR 4.3 lacs,430000,Hyderabad,1991,"12,345km",LPG,1300cc,Manual,Not Certified,Customer,12345
Honda City 6th Generation 2023 1.5L ASPIRE CVT,PKR 53.5 lacs,5350000,Lahore,2023,"23,000km",Petrol,1500cc,Automatic,Not Certified,Customer,23000
Suzuki Swift  2019 DLX Automatic 1.3 Navigation,PKR 29.7 lacs,2970000,Lahore,2019,"74,464km",Petrol,1300cc,Automatic,Not Certified,PakWheels,74464
Honda Civic  2021 Oriel 1.8 i-VTEC CVT,PKR 65 lacs,6500000,Islamabad,2021,"40,000km",Petrol,1800cc,Automatic,Not Certified,Customer,40000
