Name,PriceInText,Price,City,Year,Distance,Fuel,HorsePower,Transmission,Certified,ManagedBy,Distance2
Suzuki Wagon R  2008 Stingray Limited,PKR 20.5 lacs,2050000,Rawalpindi,2008,"251,952km",Petrol,660cc,Automatic,Not Certified,PakWheels,251952
Toyota Prado  2019 TX L Package 2.7,PKR 2.85 crore,28500000,Rawalpindi,2019,"51,042km",Petrol,2700cc,Automatic,Certified,PakWheels,51042
Daihatsu Mira  2020 Tocot,PKR 34.5 lacs,3450000,Islamabad,2020,"26,765km",Petrol,660cc,Automatic,Certified,PakWheels,26765
Honda Legend  2006 3.5i VTEC V6 EX,PKR 50 lacs,5000000,Rawalpindi,2006,"112,148km",Petrol,3500cc,Automatic,Certified,PakWheels,112148
Daihatsu Cuore  2008 CX Automatic,PKR 13 lacs,1300000,Lahore,2008,"40,640km",Petrol,800cc,Automatic,Not Certified,PakWheels,40640
Honda City  2016 Aspire Prosmatec 1.5 i-VTEC,PKR 33 lacs,3300000,Karachi,2016,"82,790km",Petrol,1500cc,Automatic,Not Certified,Customer,82790
Toyota Prado  1996 TX 3.0D,PKR 51.9 lacs,5190000,Islamabad,1996,"113,000km",Diesel,3000cc,Automatic,Not Certified,Customer,113000
Toyota Prius  2011 S 1.8,PKR 39.75 lacs,3975000,Lahore,2011,"120,764km",Hybrid,1800cc,Automatic,Certified,PakWheels,120764
Nissan Moco  2014 S,PKR 22.95 lacs,2295000,Islamabad,2014,"78,000km",Petrol,660cc,Automatic,Not Certified,Customer,78000
Honda City  2014 1.3 i-VTEC,PKR 27.25 lacs,2725000,Lahore,2014,"104,000km",Petrol,1300cc,Manual,Not Certified,Customer,104000
Honda Civic  2007 VTi Oriel 1.8 i-VTEC,PKR 21.5 lacs,2150000,Islamabad,2007,"147,000km",Petrol,1800cc,Manual,Not Certified,Customer,147000
Daihatsu Cuore  2005 CX,PKR 8.9 lacs,890000,Rawalpindi,2005,"88,888km",Petrol,800cc,Manual,Not Certified,Customer,88888
Suzuki Alto  2022 VXL AGS,PKR 28.85 lacs,2885000,Karachi,2022,"8,000km",Petrol,660cc,Automatic,Not Certified,Customer,8000
Toyota Corolla 9th (E120) Generation 2005 GLi 1.3,PKR 20.5 lacs,2050000,Peshawar,2005,"12,345km",Petrol,1300cc,Manual,Not Certified,Customer,12345
Suzuki Alto  2014 X,PKR 28 lacs,2800000,Lahore,2014,"106,227km",Petrol,660cc,Automatic,Not Certified,Customer,106227
Toyota Corolla  2012 Altis SR Cruisetronic 1.6,PKR 40.5 lacs,4050000,Mardan,2012,"135,000km",Petrol,1600cc,Automatic,Not Certified,Customer,135000
Honda Vezel  2014 Hybrid Z,PKR 50 lacs,5000000,Peshawar,2014,"122,000km",Hybrid,1500cc,Automatic,Not Certified,Customer,122000
Suzuki Mehran  2015 VXR Euro II,PKR 12.5 lacs,1250000,Rawalpindi,2015,"80,000km",Petrol,796cc,Manual,Not Certified,Customer,80000
Nissan Sunny  1993 ,PKR 4.8 lacs,480000,Wahcantt,1993,"123,750km",Petrol,1300cc,Manual,Not Certified,Customer,123750
Suzuki Mehran  2016 VX Euro II,PKR 10 lacs,1000000,Faisalabad,2016,11km,Petrol,796cc,Manual,Not Certified,Customer,11
Suzuki Mehran  2018 VXR Euro II,PKR 16.75 lacs,1675000,Islamabad,2018,"28,000km",Petrol,796cc,Manual,Not Certified,Customer,28000
Suzuki Mehran  2011 VX,PKR 9.5 lacs,950000,Islamabad,2011,"999,999km",Petrol,800cc,Manual,Not Certified,Customer,999999
Suzuki Mehran  1998 VXR (CNG),PKR 2.9 lacs,290000,Karachi,1998,220km,Petrol,800cc,Manual,Not Certified,Customer,220
Honda Civic  2004 ,PKR 14 lacs,1400000,Faisalabad,2004,"153,000km",Petrol,1500cc,Manual,Not Certified,Customer,153000
KIA Grand Carnival  2021 GLS+,PKR 1.28 crore,12800000,Swabi,2021,"40,819km",Petrol,3500cc,Automatic,Not Certified,Customer,40819
Honda City 5th (GM2) Generation 2017 Aspire Prosmatec 1.5 i-VTEC,PKR 37 lacs,3700000,Lahore,2017,"62,000km",Petrol,1500cc,Automatic,Not Certified,Customer,62000
Suzuki Alto  2022 VXR,PKR 25.3 lacs,2530000,AbdulHakeem,2022,"25,000km",Petrol,660cc,Manual,Not Certified,Customer,25000
Daihatsu Cuore  2006 CL,PKR 7.95 lacs,795000,Lahore,2006,10km,Petrol,800cc,Manual,Not Certified,Customer,10
Suzuki Mehran  2005 VXR,PKR 6 lacs,600000,Larkana,2005,"50,000km",Petrol,800cc,Manual,Not Certified,Customer,50000
Toyota Corolla  2016 GLi Automatic 1.3 VVTi,PKR 40.8 lacs,4079999,Islamabad,2016,"128,000km",Petrol,1300cc,Automatic,Not Certified,Customer,128000
